gtin;sku;stock
;CLU5762-37-MARRONE;0
;CLU5762-37-NERO;0
;CLU5762-38-MARRONE;0
;CLU5762-38-NERO;0
;CLU5762-39-MARRONE;0
;CLU5762-39-NERO;0
;CLU5762-40-MARRONE;0
;CLU5762-40-NERO;0
;CLU5762-41-MARRONE;0
;CLU5762-41-NERO;0
;CLU5763-36-NERO;0
;CLU5763-37-MARRONE;0
;CLU5763-37-NERO;0
;CLU5763-38-MARRONE;0
;CLU5763-38-NERO;0
;CLU5763-39-MARRONE;0
;CLU5763-39-NERO;0
;CLU5763-40-MARRONE;0
;CLU5763-40-NERO;0
;CLU5763-41-MARRONE;0
;CLU5763-41-NERO;0
;CLU5764-36-MARRONE;0
;CLU5764-36-NERO;0
;CLU5764-37-MARRONE;0
;CLU5764-37-NERO;0
;CLU5764-38-MARRONE;0
;CLU5764-38-NERO;0
;CLU5764-39-MARRONE;0
;CLU5764-39-NERO;0
;CLU5764-40-MARRONE;0
;CLU5764-40-NERO;0
;CLU5764-41-MARRONE;0
;CLU5764-41-NERO;0
;CLU5791-36-MARRONE;0
;CLU5791-37-MARRONE;0
;CLU5791-38-MARRONE;0
;CLU5791-39-MARRONE;0
;CLU5791-40-MARRONE;0
;CLU5792-37-NERO;0
;CLU5794-35-BEIGE;0
;CLU5794-38-BEIGE;0
;CLU5794-40-BEIGE;0
;CLU5794-37-TAUPE;0
;CLU5800-36-BEIGE;0
;CLU5800-37-BEIGE;0
;CLU5800-38-BEIGE;0
;CLU5800-39-BEIGE;0
;CLU5800-41-BEIGE;0
;CLU5801-36-MARRONE;0
;CLU5801-37-MARONE;0
;CLU5801-37-NERO;0
;CLU5801-38-MARRONE;0
;CLU5801-39-MARRONE;0
;CLU5801-40-MARRONE;0
;CLU5803-35-MARRONE;0
;CLU5803-36-MARRONE;0
;CLU5803-36-NERO;0
;CLU5803-37-MARRONE;0
;CLU5803-37-NERO;0
;CLU5803-38-MARRONE;0
;CLU5803-38-NERO;0
;CLU5803-39-MARRONE;0
;CLU5803-39-NERO;0
;CLU5803-40-MARRONE;0
;CLU5803-40-NERO;0
;CLU5803-41-MARRONE;0
;CLU5803-41-NERO;0
;CLU5804-35-MARRONE;0
;CLU5804-36-BORDEAUX;0
;CLU5804-36-NERO;0
;CLU5804-37-BORDEAUX;0
;CLU5804-37-NERO;0
;CLU5804-38-BORDEAUX;0
;CLU5804-38-NERO;0
;CLU5804-39-BORDEAUX;0
;CLU5804-39-NERO;0
;CLU5804-40-BORDEAUX;0
;CLU5804-40-NERO;0
;CLU5804-41-BORDEAUX;0
;CLU5804-41-NERO;0
;CLU5810-35-NERO;0
;CLU5810-36-NERO;0
;CLU5810-37-NERO;0
;CLU5810-38-NERO;0
;CLU5810-39-NERO;0
;CLU5810-40-NERO;0
;CLU5810-41-NERO;0
;CLU5811-36-NERO;0
;CLU5811-37-NERO;0
;CLU5811-38-NERO;0
;CLU5811-39-NERO;0
;CLU5811-40-NERO;0
;CLU5811-41-NERO;0
;CLU5813-36-NERO;0
;CLU5813-37-NERO;0
;CLU5813-38-NERO;0
;CLU5813-39-NERO;0
;CLU5813-40-NERO;0
;CLU5813-41-NERO;0
;D621EC-37-NERO;0
;D621EC-38-NERO;0
;D621EC-39-NERO;0
;"D642SC -35-GRIGIO";0
;"D642SC -36-GRIGIO";0
;"D642SC -37-GRIGIO";0
;"D642SC -38-GRIGIO";0
;"D642SC -39-GRIGIO";0
;"D642SC -40-GRIGIO";0
;D643DCC9H6J-35-LEAD-CHESTNUT;0
;D643DCC9H6J-36-LEAD-CHESTNUT;0
;D643DCC9H6J-37-LEAD-CHESTNUT;0
;D643DCC9H6J-38-LEAD-CHESTNUT;0
;D643DCC9H6J-39-LEAD-CHESTNUT;0
;D643DCC9H6J-40-LEAD-CHESTNUT;0
;D643DCC9H6J-41-LEAD-CHESTNUT;0
;D6468C-35-NERO;0
;D724GFC5K9H-35-CREAM-LEAD;0
;D724GFC5K9H-36-CREAM-LEAD;0
;D724GFC5K9H-37-CREAM-LEAD;0
;D724GFC5K9H-38-CREAM-LEAD;0
;D724GFC5K9H-39-CREAM-LEAD;0
;D84AWA-36-NERO;0
;D84AWA-38-NERO;0
;D84AWA-40-NERO;0
;D84AWA-41-NERO;0
;D84AWA-42-NERO;0
;D922CAC9999-35-BLACK;0
;D922CAC9999-36-BLACK;0
;D922CAC9999-37-BLACK;0
;D922CAC9999-38-BLACK;0
;D922CAC9999-39-BLACK;0
;D922CAC9999-40-BLACK;0
;D922CAC9999-41-BLACK;0
;"D922CDC1236-35-WHITE-LT. GREY";0
;"D922CDC1236-36-WHITE-LT. GREY";0
;"D922CDC1236-37-WHITE-LT. GREY";0
;"D922CDC1236-38-WHITE-LT. GREY";0
;"D922CDC1236-39-WHITE-LT. GREY";0
;"D922CDC1236-40-WHITE-LT. GREY";0
;"D922CDC1236-41-WHITE-LT. GREY";0
;D922CDC9999-36-BLACK;0
;D922CDC9999-37-BLACK;0
;D922CDC9999-38-BLACK;0
;D922CDC9999-39-BLACK;0
;D922CDC9999-40-BLACK;0
;D922CDC9999-41-BLACK;0
;"D922QAC5379-37-BEIGE-LT. GOLD";0
;"D922QAC5379-38-BEIGE-LT. GOLD";0
;"D922QAC5379-39-BEIGE-LT. GOLD";0
;"D922QAC5379-40-BEIGE-LT. GOLD";0
;"D922QAC5379-41-BEIGE-LT. GOLD";0
;D926CAC9999-37-BLACK;0
;D926CAC9999-38-BLACK;0
;D926CAC9999-39-BLACK;0
;D926CAC9999-40-BLACK;0
;D926CAC9999-41-BLACK;0
;"D926DAC5AH6-36-BEIGE-LT. TAUPE";0
;"D926DAC5AH6-37-BEIGE-LT. TAUPE";0
;"D926DAC5AH6-38-BEIGE-LT. TAUPE";0
;"D926DAC5AH6-39-BEIGE-LT. TAUPE";0
;"D926DAC5AH6-40-BEIGE-LT. TAUPE";0
;"D926DAC5AH6-41-BEIGE-LT. TAUPE";0
;"D926HDC1002-35-OFF WHTE";0
;"D926HDC1002-36-OFF WHTE";0
;"D926HDC1002-37-OFF WHTE";0
;"D926HDC1002-38-OFF WHTE";0
;"D926HDC1002-39-OFF WHTE";0
;"D926HDC1002-40-OFF WHTE";0
;"D926HDC1002-41-OFF WHTE";0
;D926HDC6738-36-LT.TAUPE;0
;D926HDC6738-37-LT.TAUPE;0
;D926HDC6738-38-LT.TAUPE;0
;D926HDC6738-39-LT.TAUPE;0
;D926HDC6738-40-LT.TAUPE;0
;D926HDC6738-41-LT.TAUPE;0
;"D927LACH65K-36-LT. TAUPE-CREAM";0
;"D927LACH65K-37-LT. TAUPE-CREAM";0
;"D927LACH65K-38-LT. TAUPE-CREAM";0
;"D927LACH65K-39-LT. TAUPE-CREAM";0
;"D927LACH65K-40-LT. TAUPE-CREAM";0
;"D927LACH65K-41-LT. TAUPE-CREAM";0
;D929GBC4002-35-NAVY;0
;D929GBC4002-36-NAVY;0
;D929GBC4002-37-NAVY;0
;D929GBC4002-38-NAVY;0
;D929GBC4002-39-NAVY;0
;D929GBC4002-40-NAVY;0
;D929GBC4002-41-NAVY;0
;"D92DLAC1405-35-OPTIC WHITE";0
;"D92DLAC1405-36-OPTIC WHITE";0
;"D92DLAC1405-37-OPTIC WHITE";0
;"D92DLAC1405-38-OPTIC WHITE";0
;"D92DLAC1405-39-OPTIC WHITE";0
;"D92DLAC1405-40-OPTIC WHITE";0
;"D92DLAC1405-41-OPTIC WHITE";0
;D92DLAC5000-35-BEIGE;0
;D92DLAC5000-36-BEIGE;0
;D92DLAC5000-37-BEIGE;0
;D92DLAC5000-38-BEIGE;0
;D92DLAC5000-39-BEIGE;0
;D92DLAC5000-40-BEIGE;0
;D92DLAC5000-41-BEIGE;0
;D92DLAC9999-35-BLACK;0
;D92DLAC9999-36-BLACK;0
;D92DLAC9999-37-BLACK;0
;D92DLAC9999-38-BLACK;0
;D92DLAC9999-39-BLACK;0
;D92DLAC9999-40-BLACK;0
;D92DLAC9999-41-BLACK;0
;"D92DLCC1R1Q-35-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-36-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-37-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-38-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-39-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-40-OPTIC WHIT- OFF WHITE";0
;"D92DLCC1R1Q-41-OPTIC WHIT- OFF WHITE";0
;D92DLCC9999-35-BLACK;0
;D92DLCC9999-36-BLACK;0
;D92DLCC9999-37-BLACK;0
;D92DLCC9999-38-BLACK;0
;D92DLCC9999-39-BLACK;0
;D92DLCC9999-40-BLACK;0
;D92DLCC9999-41-BLACK;0
;"D92DLEC1002-35-OFF WHITE";0
;"D92DLEC1002-36-OFF WHITE";0
;"D92DLEC1002-37-OFF WHITE";0
;"D92DLEC1002-38-OFF WHITE";0
;"D92DLEC1002-39-OFF WHITE";0
;"D92DLEC1002-40-OFF WHITE";0
;"D92DLEC1002-41-OFF WHITE";0
;"D92DLEC6738-35-LT. TAUPE";0
;"D92DLEC6738-36-LT. TAUPE";0
;"D92DLEC6738-37-LT. TAUPE";0
;"D92DLEC6738-38-LT. TAUPE";0
;"D92DLEC6738-39-LT. TAUPE";0
;"D92DLEC6738-40-LT. TAUPE";0
;"D92DLEC6738-41-LT. TAUPE";0
;D92DLEC7000-35-RED;0
;D92DLEC7000-36-RED;0
;D92DLEC7000-37-RED;0
;D92DLEC7000-38-RED;0
;D92DLEC7000-39-RED;0
;D92DLEC7000-40-RED;0
;D92DLEC7000-41-RED;0
;D92DLEC9999-35-BLACK;0
;D92DLEC9999-36-BLACK;0
;D92DLEC9999-37-BLACK;0
;D92DLEC9999-38-BLACK;0
;D92DLEC9999-39-BLACK;0
;D92DLEC9999-40-BLACK;0
;D92DLEC9999-41-BLACK;0
;D92P3BC9999-35-BLACK;0
;D92P3BC9999-36-BLACK;0
